arm,block,goal_idx,region,spawn_dist,steps,reached
trace,exposure,0,frequent,275.3,77,1
trace,exposure,1,frequent,319.6,87,1
trace,exposure,2,frequent,267.2,21,1
trace,exposure,3,frequent,273.6,30,1
trace,exposure,4,frequent,103.9,9,1
trace,exposure,5,frequent,284.2,28,1
trace,exposure,6,frequent,250.0,20,1
trace,exposure,7,rare,307.2,33,1
trace,exposure,8,frequent,300.5,27,1
trace,exposure,9,frequent,126.0,8,1
trace,exposure,10,frequent,257.5,22,1
trace,exposure,11,rare,502.9,88,1
trace,exposure,12,frequent,314.4,29,1
trace,exposure,13,frequent,493.8,47,1
trace,exposure,14,rare,284.9,23,1
trace,exposure,15,rare,418.1,37,1
trace,exposure,16,frequent,343.0,92,1
trace,exposure,17,frequent,285.9,149,1
trace,exposure,18,frequent,270.0,32,1
trace,exposure,19,frequent,89.6,7,1
trace,exposure,20,frequent,37.4,1,1
trace,exposure,21,frequent,251.9,43,1
trace,exposure,22,frequent,316.6,224,1
trace,exposure,23,frequent,297.8,25,1
trace,exposure,24,frequent,256.1,24,1
trace,exposure,25,frequent,323.5,81,1
trace,exposure,26,frequent,309.4,36,1
trace,exposure,27,frequent,255.6,44,1
trace,exposure,28,frequent,264.6,23,1
trace,exposure,29,frequent,251.3,21,1
trace,exposure,30,frequent,143.7,15,1
trace,exposure,31,frequent,257.0,28,1
trace,exposure,32,rare,337.3,34,1
trace,exposure,33,frequent,355.4,46,1
trace,exposure,34,frequent,345.5,39,1
trace,exposure,35,frequent,255.7,34,1
trace,exposure,36,frequent,309.5,30,1
trace,exposure,37,rare,455.4,38,1
trace,exposure,38,frequent,287.2,113,1
trace,exposure,39,frequent,258.7,28,1
trace,exposure,40,rare,349.3,141,1
trace,exposure,41,frequent,276.6,27,1
trace,exposure,42,frequent,278.0,24,1
trace,exposure,43,frequent,284.4,24,1
trace,exposure,44,frequent,303.4,39,1
trace,exposure,45,frequent,281.1,53,1
trace,exposure,46,frequent,282.8,26,1
trace,exposure,47,frequent,344.8,34,1
trace,exposure,48,rare,449.1,54,1
trace,exposure,49,frequent,263.7,37,1
trace,exposure,50,rare,326.9,102,1
trace,exposure,51,frequent,445.8,115,1
trace,exposure,52,frequent,296.8,33,1
trace,exposure,53,rare,326.9,27,1
trace,exposure,54,rare,358.1,102,1
trace,exposure,55,frequent,471.1,41,1
trace,exposure,56,rare,294.6,70,1
trace,exposure,57,rare,302.9,29,1
trace,exposure,58,rare,320.3,56,1
trace,exposure,59,rare,315.1,28,1
trace,exposure,60,frequent,301.5,34,1
trace,exposure,61,frequent,256.1,23,1
trace,exposure,62,rare,503.2,47,1
trace,exposure,63,frequent,284.0,27,1
trace,exposure,64,frequent,310.7,30,1
trace,exposure,65,frequent,351.8,99,1
trace,exposure,66,rare,524.9,50,1
trace,exposure,67,frequent,419.5,84,1
trace,exposure,68,frequent,272.9,49,1
trace,exposure,69,frequent,273.7,78,1
trace,exposure,70,frequent,255.9,28,1
trace,exposure,71,frequent,272.2,22,1
trace,exposure,72,frequent,256.2,20,1
trace,exposure,73,frequent,254.8,38,1
trace,exposure,74,frequent,377.0,59,1
trace,exposure,75,frequent,304.8,37,1
trace,exposure,76,frequent,275.6,25,1
trace,exposure,77,frequent,143.9,65,1
trace,exposure,78,frequent,321.7,38,1
trace,exposure,79,frequent,260.5,153,1
trace,exposure,80,frequent,45.8,2,1
trace,exposure,81,frequent,97.1,7,1
trace,exposure,82,frequent,214.6,20,1
trace,exposure,83,frequent,356.7,47,1
trace,exposure,84,rare,418.2,34,1
trace,exposure,85,frequent,360.3,26,1
trace,exposure,86,frequent,319.0,67,1
trace,exposure,87,rare,303.1,29,1
trace,exposure,88,frequent,331.8,26,1
trace,exposure,89,frequent,255.5,23,1
trace,exposure,90,frequent,265.1,23,1
trace,exposure,91,frequent,267.8,24,1
trace,exposure,92,frequent,127.6,9,1
trace,exposure,93,rare,394.5,40,1
trace,exposure,94,frequent,438.1,48,1
trace,exposure,95,frequent,284.8,23,1
trace,exposure,96,frequent,298.5,104,1
trace,exposure,97,frequent,311.1,30,1
trace,exposure,98,frequent,280.9,26,1
trace,exposure,99,frequent,125.2,10,1
trace,exposure,100,frequent,296.0,103,1
trace,exposure,101,frequent,301.1,131,1
trace,exposure,102,frequent,138.8,31,1
trace,exposure,103,rare,340.7,34,1
trace,exposure,104,frequent,271.7,23,1
trace,exposure,105,frequent,262.4,45,1
trace,exposure,106,frequent,275.5,73,1
trace,exposure,107,frequent,314.4,129,1
trace,exposure,108,rare,309.7,30,1
trace,exposure,109,frequent,267.4,74,1
trace,exposure,110,frequent,390.7,29,1
trace,exposure,111,frequent,272.1,23,1
