arm,block,goal_idx,mean_dist_to_quad_center
trace,exposure,0,143.0
trace,exposure,1,172.4
trace,exposure,2,100.6
trace,exposure,3,51.6
trace,exposure,4,91.0
trace,exposure,5,158.8
trace,exposure,6,89.5
trace,exposure,7,124.5
trace,exposure,8,58.5
trace,exposure,9,159.3
trace,exposure,10,136.0
trace,exposure,11,132.6
trace,exposure,12,148.9
trace,exposure,13,83.5
trace,exposure,14,32.4
trace,exposure,15,275.6
trace,exposure,16,256.2
trace,exposure,17,84.5
trace,exposure,18,178.2
trace,exposure,19,93.2
trace,exposure,20,264.7
trace,exposure,21,126.7
trace,exposure,22,105.4
trace,exposure,23,109.8
trace,exposure,24,29.3
trace,exposure,25,115.8
trace,exposure,26,94.0
trace,exposure,27,103.0
trace,exposure,28,332.0
trace,exposure,29,163.9
trace,exposure,30,91.1
trace,exposure,31,151.8
trace,exposure,32,146.5
trace,exposure,33,292.8
trace,exposure,34,34.2
trace,exposure,35,229.6
trace,exposure,36,207.4
trace,exposure,37,82.4
trace,exposure,38,193.1
trace,exposure,39,165.2
trace,exposure,40,90.8
trace,exposure,41,160.0
trace,exposure,42,124.4
trace,exposure,43,129.4
trace,exposure,44,94.8
trace,exposure,45,200.5
trace,exposure,46,84.7
trace,exposure,47,158.0
trace,exposure,48,88.8
trace,exposure,49,130.8
trace,exposure,50,122.2
trace,exposure,51,299.5
trace,exposure,52,156.7
trace,exposure,53,146.5
trace,exposure,54,140.0
trace,exposure,55,290.0
trace,exposure,56,391.0
trace,exposure,57,159.3
trace,exposure,58,109.3
trace,exposure,59,113.8
trace,exposure,60,129.5
trace,exposure,61,135.7
trace,exposure,62,99.9
trace,exposure,63,98.3
trace,exposure,64,150.9
trace,exposure,65,147.4
trace,exposure,66,95.9
trace,exposure,67,138.6
trace,exposure,68,40.0
trace,exposure,69,119.7
trace,exposure,70,90.7
trace,exposure,71,71.1
trace,exposure,72,123.4
trace,exposure,73,131.1
trace,exposure,74,117.8
trace,exposure,75,90.1
trace,exposure,76,136.6
trace,exposure,77,47.1
trace,exposure,78,165.1
trace,exposure,79,181.8
trace,exposure,80,62.4
trace,exposure,81,315.6
trace,exposure,82,124.2
trace,exposure,83,137.1
trace,exposure,84,124.2
trace,exposure,85,222.4
trace,exposure,86,191.8
trace,exposure,87,267.4
trace,exposure,88,195.6
trace,exposure,89,89.9
trace,exposure,90,222.3
trace,exposure,91,93.8
trace,exposure,92,124.0
trace,exposure,93,183.5
trace,exposure,94,153.1
trace,exposure,95,166.3
trace,exposure,96,230.8
trace,exposure,97,234.4
trace,exposure,98,171.4
trace,exposure,99,176.8
trace,exposure,100,113.8
trace,exposure,101,171.5
trace,exposure,102,84.1
trace,exposure,103,158.8
trace,exposure,104,88.0
trace,exposure,105,162.2
trace,exposure,106,197.2
trace,exposure,107,118.1
trace,exposure,108,147.1
trace,exposure,109,129.2
trace,exposure,110,160.8
trace,exposure,111,105.4
trace,exposure,112,227.9
trace,exposure,113,85.0
trace,exposure,114,187.4
trace,exposure,115,137.9
trace,exposure,116,112.6
trace,exposure,117,167.8
trace,exposure,118,132.8
trace,exposure,119,81.5
trace,test,0,223.7
trace,test,1,207.9
trace,test,2,235.1
trace,test,3,185.0
trace,test,4,72.3
trace,test,5,157.1
trace,test,6,196.2
trace,test,7,84.9
trace,test,8,301.6
trace,test,9,200.9
trace,test,10,188.8
trace,test,11,161.9
trace,test,12,169.6
trace,test,13,298.2
trace,test,14,249.4
trace,test,15,182.7
trace,test,16,201.6
trace,test,17,186.4
trace,test,18,343.8
trace,test,19,171.8
trace,test,20,233.4
trace,test,21,268.1
trace,test,22,189.9
trace,test,23,128.6
trace,test,24,36.9
trace,test,25,497.9
trace,test,26,223.6
trace,test,27,137.4
trace,test,28,277.4
trace,test,29,259.3
trace,test,30,253.6
trace,test,31,222.8
trace,test,32,204.4
trace,test,33,197.2
trace,test,34,153.3
trace,test,35,220.2
trace,test,36,481.0
trace,test,37,278.1
trace,test,38,205.6
trace,test,39,234.4
trace,test,40,198.7
trace,test,41,163.9
trace,test,42,215.4
trace,test,43,203.7
trace,test,44,175.8
trace,test,45,198.0
trace,test,46,53.6
trace,test,47,280.3
trace,test,48,215.6
trace,test,49,357.8
trace,test,50,222.1
trace,test,51,191.6
trace,test,52,239.0
trace,test,53,209.8
trace,test,54,147.9
trace,test,55,239.7
trace,test,56,222.0
trace,test,57,210.9
trace,test,58,237.3
trace,test,59,292.0
trace,test,60,233.2
trace,test,61,178.4
trace,test,62,266.7
trace,test,63,172.9
trace,test,64,212.5
trace,test,65,290.7
trace,test,66,104.9
trace,test,67,238.2
trace,test,68,277.0
trace,test,69,253.6
trace,test,70,217.8
trace,test,71,197.2
trace,test,72,187.0
trace,test,73,147.2
trace,test,74,206.5
trace,test,75,137.3
trace,test,76,185.8
trace,test,77,106.4
trace,test,78,204.8
trace,test,79,121.0
trace,exposure,0,156.0
trace,exposure,1,157.6
trace,exposure,2,113.7
trace,exposure,3,160.4
trace,exposure,4,222.8
trace,exposure,5,214.6
trace,exposure,6,304.4
trace,exposure,7,109.4
trace,exposure,8,145.6
trace,exposure,9,186.7
trace,exposure,10,203.8
trace,exposure,11,138.2
trace,exposure,12,152.9
trace,exposure,13,128.5
trace,exposure,14,113.5
trace,exposure,15,134.3
trace,exposure,16,62.8
trace,exposure,17,225.5
trace,exposure,18,140.0
trace,exposure,19,204.3
trace,exposure,20,221.7
trace,exposure,21,173.5
trace,exposure,22,284.3
trace,exposure,23,116.6
trace,exposure,24,118.6
trace,exposure,25,100.5
trace,exposure,26,125.1
trace,exposure,27,86.4
trace,exposure,28,82.5
trace,exposure,29,106.1
trace,exposure,30,269.2
trace,exposure,31,101.3
trace,exposure,32,85.8
trace,exposure,33,112.2
trace,exposure,34,56.9
trace,exposure,35,129.1
trace,exposure,36,100.2
trace,exposure,37,378.3
trace,exposure,38,99.2
trace,exposure,39,84.7
trace,exposure,40,87.5
trace,exposure,41,87.5
trace,exposure,42,165.0
trace,exposure,43,106.2
trace,exposure,44,66.1
trace,exposure,45,181.2
trace,exposure,46,39.0
trace,exposure,47,309.4
trace,exposure,48,150.3
trace,exposure,49,111.5
trace,exposure,50,178.9
trace,exposure,51,65.5
trace,exposure,52,312.8
trace,exposure,53,85.6
trace,exposure,54,174.8
trace,exposure,55,64.5
trace,exposure,56,191.5
trace,exposure,57,148.5
trace,exposure,58,196.5
trace,exposure,59,58.6
trace,exposure,60,82.3
trace,exposure,61,101.1
trace,exposure,62,106.6
trace,exposure,63,63.2
trace,exposure,64,269.9
trace,exposure,65,187.9
trace,exposure,66,71.6
trace,exposure,67,243.7
trace,exposure,68,89.3
trace,exposure,69,114.3
trace,exposure,70,209.6
trace,exposure,71,259.3
trace,exposure,72,201.0
trace,exposure,73,154.9
trace,exposure,74,149.0
trace,exposure,75,195.2
trace,exposure,76,148.9
trace,exposure,77,100.9
trace,exposure,78,149.0
trace,exposure,79,63.7
trace,exposure,80,81.0
trace,exposure,81,106.0
trace,exposure,82,96.2
trace,exposure,83,62.9
trace,exposure,84,60.8
trace,exposure,85,157.0
trace,exposure,86,63.7
trace,exposure,87,69.7
trace,exposure,88,96.2
trace,exposure,89,43.0
trace,exposure,90,193.1
trace,exposure,91,43.4
trace,exposure,92,51.9
trace,exposure,93,270.8
trace,exposure,94,146.9
trace,exposure,95,50.1
trace,exposure,96,105.3
trace,exposure,97,96.8
trace,exposure,98,99.8
trace,exposure,99,56.3
trace,exposure,100,193.5
trace,exposure,101,33.7
trace,exposure,102,48.7
