arm,block,goal_idx,region,spawn_dist,steps,reached
trace,exposure,0,frequent,275.3,78,1
trace,exposure,1,frequent,321.3,99,1
trace,exposure,2,frequent,266.5,21,1
trace,exposure,3,frequent,280.5,30,1
trace,exposure,4,frequent,128.4,11,1
trace,exposure,5,frequent,253.6,23,1
trace,exposure,6,frequent,306.2,24,1
trace,exposure,7,frequent,252.6,85,1
trace,exposure,8,frequent,254.1,32,1
trace,exposure,9,rare,312.1,27,1
trace,exposure,10,frequent,270.4,100,1
trace,exposure,11,frequent,34.9,1,1
trace,exposure,12,frequent,339.3,69,1
trace,exposure,13,frequent,253.4,40,1
trace,exposure,14,frequent,266.1,39,1
trace,exposure,15,rare,295.6,31,1
trace,exposure,16,rare,326.1,30,1
trace,exposure,17,frequent,256.8,32,1
trace,exposure,18,rare,329.2,33,1
trace,exposure,19,frequent,259.7,165,1
trace,exposure,20,rare,406.3,32,1
trace,exposure,21,frequent,323.1,38,1
trace,exposure,22,frequent,259.8,155,1
trace,exposure,23,frequent,77.7,4,1
trace,exposure,24,frequent,308.9,31,1
trace,exposure,25,frequent,70.6,5,1
trace,exposure,26,frequent,270.2,40,1
trace,exposure,27,frequent,269.8,145,1
trace,exposure,28,rare,365.7,36,1
trace,exposure,29,rare,254.9,24,1
trace,exposure,30,frequent,261.4,23,1
trace,exposure,31,frequent,254.5,33,1
trace,exposure,32,frequent,311.9,108,1
trace,exposure,33,rare,250.2,57,1
trace,exposure,34,frequent,252.5,26,1
trace,exposure,35,rare,349.7,34,1
trace,exposure,36,frequent,263.7,35,1
trace,exposure,37,frequent,265.6,35,1
trace,exposure,38,rare,365.1,32,1
trace,exposure,39,rare,352.6,88,1
trace,exposure,40,frequent,251.6,25,1
trace,exposure,41,frequent,85.8,7,1
trace,exposure,42,frequent,274.4,32,1
trace,exposure,43,frequent,314.3,30,1
trace,exposure,44,frequent,254.4,27,1
trace,exposure,45,rare,329.6,65,1
trace,exposure,46,frequent,275.8,63,1
trace,exposure,47,frequent,272.4,22,1
trace,exposure,48,frequent,253.3,70,1
trace,exposure,49,rare,343.5,32,1
trace,exposure,50,rare,286.1,27,1
trace,exposure,51,rare,311.3,27,1
trace,exposure,52,frequent,267.6,20,1
trace,exposure,53,frequent,273.5,58,1
trace,exposure,54,frequent,317.5,96,1
trace,exposure,55,rare,413.1,73,1
trace,exposure,56,rare,301.3,32,1
trace,exposure,57,frequent,258.8,25,1
trace,exposure,58,frequent,254.7,20,1
trace,exposure,59,frequent,162.2,14,1
trace,exposure,60,rare,296.8,27,1
trace,exposure,61,frequent,266.1,28,1
trace,exposure,62,frequent,261.8,24,1
trace,exposure,63,frequent,152.4,13,1
trace,exposure,64,frequent,257.2,27,1
trace,exposure,65,rare,282.6,23,1
trace,exposure,66,frequent,294.7,55,1
trace,exposure,67,frequent,53.8,3,1
trace,exposure,68,frequent,273.0,30,1
trace,exposure,69,frequent,198.0,45,1
trace,exposure,70,frequent,273.0,183,1
trace,exposure,71,frequent,254.6,23,1
trace,exposure,72,frequent,255.8,24,1
trace,exposure,73,frequent,253.7,150,1
trace,exposure,74,frequent,226.1,107,1
trace,exposure,75,frequent,280.4,61,1
trace,exposure,76,frequent,145.0,12,1
trace,exposure,77,frequent,278.7,27,1
trace,exposure,78,frequent,262.6,39,1
trace,exposure,79,rare,290.3,28,1
trace,exposure,80,frequent,194.7,177,1
trace,exposure,81,rare,537.3,121,1
trace,exposure,82,frequent,280.8,37,1
trace,exposure,83,frequent,272.0,24,1
trace,exposure,84,frequent,303.2,34,1
trace,exposure,85,rare,255.4,21,1
trace,exposure,86,rare,348.4,36,1
trace,exposure,87,rare,284.3,72,1
trace,exposure,88,frequent,263.7,35,1
trace,exposure,89,frequent,326.2,30,1
trace,exposure,90,rare,355.2,36,1
trace,exposure,91,frequent,267.4,43,1
trace,exposure,92,frequent,54.3,3,1
trace,exposure,93,frequent,266.9,31,1
trace,exposure,94,frequent,271.5,24,1
trace,exposure,95,frequent,256.2,63,1
trace,exposure,96,rare,273.3,28,1
trace,exposure,97,rare,365.4,36,1
trace,exposure,98,rare,263.6,19,1
trace,exposure,99,rare,273.8,26,1
trace,exposure,100,frequent,310.7,36,1
trace,exposure,101,rare,262.2,26,1
trace,exposure,102,frequent,261.3,58,1
trace,exposure,103,rare,444.7,43,1
trace,exposure,104,frequent,266.3,28,1
trace,exposure,105,rare,320.9,47,1
trace,exposure,106,rare,319.7,65,1
trace,exposure,107,frequent,280.5,74,1
trace,exposure,108,frequent,250.6,26,1
trace,exposure,109,frequent,325.9,134,1
