arm,block,goal_idx,mean_dist_to_quad_center,end_dist_to_quad_center
trace,exposure,0,186.3,186.9
trace,exposure,1,204.5,302.9
trace,exposure,2,168.8,194.6
trace,exposure,3,273.6,368.7
trace,exposure,4,195.1,227.7
trace,exposure,5,257.6,208.2
trace,exposure,6,158.7,156.6
trace,exposure,7,186.2,67.9
trace,exposure,8,146.4,133.2
trace,exposure,9,99.9,63.5
trace,exposure,10,168.5,121.0
trace,exposure,11,133.2,154.3
trace,exposure,12,201.1,182.5
trace,exposure,13,179.2,191.8
trace,exposure,14,191.4,205.8
trace,exposure,15,315.0,415.2
trace,exposure,16,212.7,219.6
trace,exposure,17,123.9,143.0
trace,exposure,18,173.1,193.8
trace,exposure,19,122.1,94.9
trace,exposure,20,155.0,145.0
trace,exposure,21,89.1,68.6
trace,exposure,22,176.3,111.9
trace,exposure,23,144.4,211.4
trace,exposure,24,202.5,190.3
trace,exposure,25,220.1,288.0
trace,exposure,26,199.2,213.3
trace,exposure,27,300.7,337.6
trace,exposure,28,193.5,220.2
trace,exposure,29,268.2,256.4
trace,exposure,30,169.1,168.7
trace,exposure,31,167.8,86.2
trace,exposure,32,142.5,141.6
trace,exposure,33,117.0,62.2
trace,exposure,34,163.2,150.5
trace,exposure,35,130.9,151.6
trace,exposure,36,200.7,185.6
trace,exposure,37,196.5,212.5
trace,exposure,38,293.4,334.9
trace,exposure,39,208.2,219.7
trace,exposure,40,247.5,184.7
trace,exposure,41,186.8,120.9
trace,exposure,42,123.2,145.9
trace,exposure,43,123.3,60.0
trace,exposure,44,161.7,127.7
trace,exposure,45,194.5,242.0
trace,exposure,46,188.8,172.2
trace,exposure,47,194.1,209.2
trace,exposure,48,241.1,321.9
trace,exposure,49,172.4,211.1
trace,exposure,50,246.9,280.2
trace,exposure,51,172.1,178.0
trace,exposure,52,175.2,98.8
trace,exposure,53,151.3,154.3
trace,exposure,54,120.2,64.0
trace,exposure,55,159.6,174.9
trace,exposure,56,140.3,147.0
trace,exposure,57,192.4,188.0
trace,exposure,58,179.2,183.6
trace,exposure,59,236.8,228.4
trace,exposure,60,211.6,220.5
trace,exposure,61,155.2,177.1
trace,exposure,62,227.8,240.9
trace,exposure,63,219.5,177.7
trace,exposure,64,190.0,194.5
trace,exposure,65,124.6,129.8
trace,exposure,66,154.0,130.2
trace,exposure,67,98.2,92.0
trace,exposure,68,143.7,138.1
trace,exposure,69,234.6,180.0
trace,exposure,70,184.2,172.4
trace,exposure,71,200.8,211.8
trace,exposure,72,156.5,179.3
trace,exposure,73,220.0,235.7
trace,exposure,74,180.2,252.3
