arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,0,frequent,286.1,25,1,163.8,258.5,426,373,388.2,392.9
trace,exposure,1,frequent,361.4,38,1,160.7,200.5,186,561,376.8,383.3
trace,exposure,2,frequent,195.7,12,1,212.3,305.3,344,450,368.6,379.4
trace,exposure,3,frequent,428.5,52,1,236.2,194.5,621,383,362.0,370.2
trace,exposure,4,frequent,246.2,17,1,298.4,184.5,485,345,358.8,360.9
trace,exposure,5,frequent,259.7,24,1,225.0,337.3,478,279,352.1,359.7
trace,exposure,6,rare,250.3,22,1,496.0,578.3,408,344,359.3,370.6
trace,exposure,7,frequent,150.4,11,1,259.1,156.7,336,286,354.3,359.9
trace,exposure,8,frequent,228.8,17,1,209.6,194.9,370,358,347.1,351.7
trace,exposure,9,rare,381.7,39,1,595.7,303.6,214,300,359.5,349.3
trace,exposure,10,frequent,174.7,13,1,259.3,208.9,358,353,354.5,342.3
trace,exposure,11,frequent,218.0,20,1,286.0,208.3,234,420,351.1,335.6
trace,exposure,12,frequent,254.3,23,1,197.0,399.4,442,331,343.4,338.7
trace,exposure,13,frequent,338.1,81,1,163.6,152.3,308,458,334.4,329.4
trace,exposure,14,frequent,316.3,28,1,249.8,156.5,375,447,330.1,320.8
trace,exposure,15,frequent,288.2,64,1,399.0,277.6,676,357,333.6,318.6
trace,exposure,16,rare,229.1,20,1,587.6,146.0,476,346,346.3,310.0
trace,exposure,17,rare,153.7,14,1,494.5,419.2,343,393,353.7,315.4
trace,exposure,18,frequent,248.9,20,1,306.7,169.0,423,389,351.3,308.1
trace,exposure,19,frequent,158.1,12,1,270.2,186.4,348,324,347.3,302.0
trace,exposure,20,rare,215.7,19,1,592.7,295.2,386,357,359.5,301.7
trace,exposure,21,frequent,176.7,18,1,145.1,381.6,221,222,348.8,305.7
trace,exposure,22,rare,233.6,22,1,572.5,299.9,345,353,360.0,305.4
trace,exposure,23,frequent,167.9,14,1,368.3,386.2,227,477,360.4,309.4
trace,exposure,24,frequent,256.4,56,1,266.4,158.0,447,340,355.7,301.9
trace,exposure,25,rare,337.3,31,1,538.2,206.8,413,520,364.8,297.1
trace,exposure,26,frequent,261.3,34,1,282.9,208.9,386,449,360.7,292.7
trace,exposure,27,frequent,245.4,22,1,360.0,250.1,600,199,360.7,290.6
trace,exposure,28,frequent,203.4,14,1,329.8,192.3,483,326,359.2,285.7
trace,exposure,29,frequent,272.3,27,1,253.9,274.6,526,284,353.9,285.1
trace,exposure,30,frequent,251.4,21,1,198.4,227.9,423,341,346.1,282.2
trace,exposure,31,frequent,183.1,13,1,199.8,197.3,350,302,338.8,278.0
trace,exposure,32,frequent,173.9,13,1,304.1,199.5,384,354,337.1,274.1
trace,exposure,33,rare,373.5,40,1,587.0,176.8,245,327,349.6,269.2
trace,exposure,34,frequent,172.0,13,1,313.9,195.7,401,344,347.8,265.5
trace,exposure,35,frequent,192.3,36,1,383.2,288.5,242,419,349.6,266.7
trace,exposure,36,frequent,304.3,204,1,189.5,165.2,446,329,341.6,261.6
trace,exposure,37,frequent,230.8,17,1,250.1,261.4,386,448,337.0,261.6
trace,exposure,38,rare,440.2,49,1,490.1,651.8,602,226,344.6,281.1
trace,exposure,39,frequent,256.8,23,1,244.7,228.2,483,324,339.6,278.5
trace,exposure,40,frequent,190.6,99,1,269.3,238.9,454,286,336.1,276.5
trace,exposure,41,frequent,167.0,12,1,249.7,212.4,383,313,331.8,273.3
trace,exposure,42,frequent,241.4,22,1,153.2,399.8,390,353,322.9,279.6
trace,exposure,43,rare,473.4,87,1,643.9,621.7,271,330,338.9,296.7
trace,exposure,44,rare,375.1,34,1,652.4,277.9,296,395,354.6,295.8
trace,exposure,45,frequent,157.9,12,1,376.6,360.0,319,507,355.7,299.0
trace,exposure,46,rare,247.3,129,1,657.6,429.0,425,345,370.8,305.5
trace,exposure,47,frequent,222.3,16,1,220.5,294.3,383,446,363.3,304.9
trace,exposure,48,rare,233.9,22,1,528.9,169.7,564,401,371.6,298.2
trace,exposure,49,frequent,205.7,19,1,180.9,389.8,377,452,362.0,302.7
trace,exposure,50,frequent,353.9,66,1,188.3,294.7,537,355,353.3,302.3
trace,exposure,51,frequent,289.2,22,1,201.2,171.2,430,348,345.7,295.8
trace,exposure,52,rare,163.7,13,1,268.0,449.1,359,313,341.9,303.5
trace,exposure,53,frequent,159.8,12,1,249.0,291.8,390,367,337.2,302.9
trace,exposure,54,frequent,189.6,22,1,383.0,193.1,254,332,339.5,297.4
trace,exposure,55,frequent,162.9,22,1,264.1,345.8,427,347,335.7,299.8
trace,exposure,56,frequent,194.8,18,1,218.0,222.2,246,415,329.8,295.9
trace,exposure,57,frequent,279.2,27,1,177.7,378.3,451,321,322.2,300.0
trace,exposure,58,rare,375.1,29,1,658.0,178.1,373,422,339.0,293.9
trace,exposure,59,frequent,208.0,17,1,209.0,382.6,404,455,332.5,298.4
trace,exposure,60,rare,269.5,22,1,597.2,332.2,365,469,345.8,300.1
trace,exposure,61,frequent,297.2,28,1,310.0,142.0,323,439,344.0,292.2
trace,exposure,62,rare,255.1,24,1,295.7,485.0,502,335,341.6,301.8
trace,exposure,63,frequent,268.8,31,1,209.8,200.0,357,425,335.0,296.7
trace,exposure,64,frequent,231.3,17,1,283.8,210.8,411,404,332.4,292.4
trace,exposure,65,frequent,159.9,13,1,326.6,192.9,376,345,332.1,287.4
trace,exposure,66,frequent,181.8,14,1,208.6,267.0,366,358,325.9,286.4
