arm,block,goal_idx,mean_dist_to_quad_center
trace,exposure,0,68.0
trace,exposure,1,127.0
trace,exposure,2,277.4
trace,exposure,3,146.4
trace,exposure,4,38.9
trace,exposure,5,179.5
trace,exposure,6,273.5
trace,exposure,7,47.6
trace,exposure,8,78.1
trace,exposure,9,157.6
trace,exposure,10,132.2
trace,exposure,11,96.7
trace,exposure,12,88.7
trace,exposure,13,133.3
trace,exposure,14,420.9
trace,exposure,15,132.6
trace,exposure,16,65.6
trace,exposure,17,119.6
trace,exposure,18,54.5
trace,exposure,19,91.4
trace,exposure,20,108.5
trace,exposure,21,131.3
trace,exposure,22,168.8
trace,exposure,23,143.5
trace,exposure,24,322.3
trace,exposure,25,187.1
trace,exposure,26,173.1
trace,exposure,27,90.6
trace,exposure,28,68.9
trace,exposure,29,67.9
trace,exposure,30,127.9
trace,exposure,31,104.9
trace,exposure,32,93.5
trace,exposure,33,109.1
trace,exposure,34,281.4
trace,exposure,35,144.5
trace,exposure,36,37.2
trace,exposure,37,174.5
trace,exposure,38,91.2
trace,exposure,39,69.1
trace,exposure,40,93.7
trace,exposure,41,105.0
trace,exposure,42,127.0
trace,exposure,43,260.8
trace,exposure,44,160.0
trace,exposure,45,178.9
trace,exposure,46,69.0
trace,exposure,47,127.2
trace,exposure,48,195.3
trace,exposure,49,108.8
trace,exposure,50,77.1
trace,exposure,51,245.2
trace,exposure,52,72.8
trace,exposure,53,153.2
trace,exposure,54,90.9
trace,exposure,55,154.3
trace,exposure,56,113.0
trace,exposure,57,166.6
trace,exposure,58,93.0
trace,exposure,59,60.6
trace,exposure,60,96.2
trace,exposure,61,102.3
trace,exposure,62,129.8
trace,exposure,63,173.8
trace,exposure,64,158.9
trace,exposure,65,114.5
trace,exposure,66,86.9
trace,exposure,67,141.3
trace,exposure,68,85.0
trace,exposure,69,66.8
trace,exposure,70,94.7
trace,exposure,71,107.2
trace,exposure,72,126.5
trace,exposure,73,106.5
trace,exposure,74,117.9
trace,exposure,75,76.5
trace,exposure,76,143.2
trace,exposure,77,113.9
trace,exposure,78,165.3
trace,exposure,79,86.2
trace,exposure,80,59.3
trace,exposure,81,95.2
trace,exposure,82,104.4
trace,exposure,83,111.2
trace,exposure,84,160.5
trace,exposure,85,133.3
trace,exposure,86,109.1
trace,exposure,87,113.9
trace,exposure,88,200.8
trace,exposure,89,148.7
trace,exposure,90,88.6
trace,exposure,91,111.8
trace,exposure,92,230.2
trace,exposure,93,297.0
trace,exposure,94,140.0
trace,exposure,95,164.7
