arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,0,frequent,275.3,72,1,163.8,258.5,400,400,388.2,392.9
trace,exposure,1,frequent,81.9,40,1,371.8,299.3,290,303,387.4,388.2
trace,exposure,2,rare,254.8,24,1,610.5,443.7,359,403,398.5,391.0
trace,exposure,3,frequent,379.0,48,1,238.9,141.5,496,420,390.5,378.5
trace,exposure,4,frequent,278.2,25,1,197.0,253.3,465,328,380.9,372.3
trace,exposure,5,frequent,251.5,30,1,398.4,170.8,216,344,381.7,362.2
trace,exposure,6,rare,371.2,213,1,587.3,654.8,425,321,392.0,376.8
trace,exposure,7,frequent,250.6,18,1,194.0,194.9,386,356,382.1,367.7
trace,exposure,8,frequent,65.4,4,1,199.4,228.1,262,247,373.0,360.8
trace,exposure,9,frequent,252.9,26,1,386.3,396.0,265,174,373.7,362.5
trace,exposure,10,frequent,271.3,27,1,213.3,239.3,257,507,365.6,356.4
trace,exposure,11,frequent,254.9,83,1,393.4,157.6,197,320,367.0,346.4
trace,exposure,12,frequent,254.5,58,1,216.3,151.4,353,366,359.5,336.7
trace,exposure,13,frequent,59.2,3,1,188.4,331.5,245,349,350.9,336.4
trace,exposure,14,rare,298.4,27,1,606.5,570.0,336,444,363.7,348.1
trace,exposure,15,frequent,476.3,71,1,162.6,314.0,574,554,353.7,346.4
trace,exposure,16,frequent,290.1,25,1,176.6,224.1,435,356,344.8,340.3
trace,exposure,17,frequent,133.5,10,1,393.3,175.4,334,295,347.2,332.0
trace,exposure,18,frequent,261.0,68,1,251.9,142.7,392,363,342.5,322.6
trace,exposure,19,frequent,141.7,12,1,359.7,225.1,218,221,343.3,317.7
trace,exposure,20,frequent,262.2,24,1,142.1,192.2,353,348,333.3,311.4
trace,exposure,21,frequent,255.0,22,1,154.5,399.1,278,176,324.3,315.8
trace,exposure,22,frequent,278.2,22,1,360.1,347.3,130,191,326.1,317.4
trace,exposure,23,frequent,360.3,41,1,377.6,147.3,283,495,328.7,308.9
trace,exposure,24,rare,268.7,77,1,632.7,433.1,364,435,343.9,315.1
trace,exposure,25,frequent,294.1,25,1,188.9,396.9,442,247,336.1,319.2
