arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,0,frequent,275.3,78,1,163.8,258.5,400,400,388.2,392.9
trace,exposure,1,frequent,321.3,99,1,160.7,200.5,353,458,376.8,383.3
trace,exposure,2,frequent,266.5,21,1,234.9,236.2,398,447,369.7,376.0
trace,exposure,3,frequent,280.5,30,1,199.6,148.3,308,407,361.2,364.6
trace,exposure,4,frequent,128.4,11,1,156.7,246.0,279,285,351.0,358.6
trace,exposure,5,frequent,253.6,23,1,400.0,231.0,172,342,353.4,352.3
trace,exposure,6,frequent,306.2,24,1,191.8,145.3,414,356,345.4,341.9
trace,exposure,7,frequent,252.6,85,1,168.1,146.7,333,338,336.5,332.1
trace,exposure,8,frequent,254.1,32,1,211.8,142.6,319,373,330.3,322.7
trace,exposure,9,rare,312.1,27,1,184.5,514.4,376,268,323.0,332.3
trace,exposure,10,frequent,270.4,100,1,159.5,140.7,254,394,314.8,322.7
trace,exposure,11,frequent,34.9,1,1,251.0,312.9,217,321,311.6,322.2
trace,exposure,12,frequent,339.3,69,1,164.2,165.1,230,498,304.2,314.3
trace,exposure,13,frequent,253.4,40,1,311.4,203.6,356,453,304.6,308.8
trace,exposure,14,frequent,266.1,39,1,198.3,168.1,307,411,299.3,301.8
trace,exposure,15,rare,295.6,31,1,438.5,559.8,287,306,306.2,314.7
trace,exposure,16,rare,326.1,30,1,646.8,565.6,363,405,323.3,327.2
trace,exposure,17,frequent,256.8,32,1,307.1,146.8,398,387,322.5,318.2
trace,exposure,18,rare,329.2,33,1,143.2,592.3,366,350,313.5,331.9
trace,exposure,19,frequent,259.7,165,1,151.0,144.9,292,363,305.4,322.6
trace,exposure,20,rare,406.3,32,1,588.3,439.4,279,176,319.5,328.4
trace,exposure,21,frequent,323.1,38,1,169.9,145.4,433,333,312.0,319.2
trace,exposure,22,frequent,259.8,155,1,226.6,183.7,269,440,307.8,312.5
trace,exposure,23,frequent,77.7,4,1,306.8,290.0,253,346,307.7,311.3
trace,exposure,24,frequent,308.9,31,1,217.3,159.0,341,442,303.2,303.7
trace,exposure,25,frequent,70.6,5,1,286.2,391.6,286,321,302.4,308.1
trace,exposure,26,frequent,270.2,40,1,174.9,203.1,361,399,296.0,302.9
trace,exposure,27,frequent,269.8,145,1,155.3,148.8,357,328,288.9,295.2
trace,exposure,28,rare,365.7,36,1,631.5,487.5,291,354,306.1,304.8
trace,exposure,29,rare,254.9,24,1,354.4,578.1,434,336,308.5,318.4
