arm,seed,trial,offset
fitted,100,1,18.00000
fitted,100,2,-58.00000
fitted,100,3,-90.00000
fitted,100,4,95.00000
fitted,100,5,-17.00000
fitted,100,6,-190.00000
fitted,100,7,-120.00000
fitted,100,8,-92.00000
fitted,100,9,-104.00000
fitted,100,10,-152.00000
fitted,100,11,-76.00000
fitted,100,12,-114.00000
fitted,100,13,-111.00000
fitted,100,14,15.00000
fitted,100,15,-76.00000
fitted,100,16,-10.00000
fitted,100,17,183.00000
fitted,100,18,-76.00000
fitted,100,19,104.00000
fitted,100,20,150.00000
fitted,100,21,152.00000
fitted,100,22,-25.00000
fitted,100,23,93.00000
fitted,100,24,-134.00000
fitted,100,25,-49.00000
fitted,100,26,13.00000
fitted,100,27,-64.00000
fitted,100,28,100.00000
fitted,100,29,-141.00000
fitted,100,30,-25.00000
fitted,100,31,-196.00000
fitted,100,32,-83.00000
fitted,100,33,56.00000
fitted,100,34,-109.00000
fitted,100,35,-117.00000
fitted,100,36,-85.00000
fitted,100,37,18.00000
fitted,100,38,71.00000
fitted,100,39,132.00000
fitted,100,40,-4.00000
fitted,100,41,74.00000
fitted,100,42,-52.00000
fitted,100,43,-115.00000
fitted,100,44,55.00000
fitted,100,45,-102.00000
fitted,100,46,-115.00000
fitted,100,47,1.00000
fitted,100,48,49.00000
fitted,100,49,-43.00000
fitted,100,50,108.00000
fitted,100,51,-131.00000
fitted,100,52,-123.00000
fitted,100,53,31.00000
fitted,100,54,8.00000
fitted,100,55,-138.00000
fitted,100,56,-186.00000
fitted,100,57,-107.00000
fitted,100,58,-189.00000
fitted,100,59,-5.00000
fitted,100,60,-76.00000
fitted,100,61,26.00000
fitted,100,62,100.00000
fitted,100,63,-121.00000
fitted,100,64,-12.00000
fitted,100,65,-191.00000
fitted,100,66,-126.00000
fitted,100,67,-107.00000
fitted,100,68,-108.00000
fitted,100,69,-133.00000
fitted,100,70,84.00000
fitted,100,71,-129.00000
fitted,100,72,-81.00000
fitted,100,73,-69.00000
fitted,100,74,-110.00000
fitted,100,75,-120.00000
fitted,100,76,-8.00000
fitted,100,77,-98.00000
fitted,100,78,-72.00000
fitted,100,79,73.00000
fitted,100,80,20.00000
fitted,100,81,-49.00000
fitted,100,82,-143.00000
fitted,100,83,-101.00000
fitted,100,84,38.00000
fitted,100,85,-81.00000
fitted,100,86,104.00000
fitted,100,87,84.00000
fitted,100,88,-19.00000
fitted,100,89,-73.00000
fitted,100,90,16.00000
fitted,100,91,-39.00000
fitted,100,92,128.00000
fitted,100,93,-126.00000
fitted,100,94,-5.00000
fitted,100,95,201.00000
fitted,100,96,-96.00000
fitted,100,97,22.00000
fitted,100,98,-35.00000
fitted,100,99,-10.00000
fitted,100,100,1.00000
fitted,100,101,-50.00000
fitted,100,102,53.00000
fitted,100,103,2.00000
fitted,100,104,196.00000
fitted,100,105,89.00000
fitted,100,106,-34.00000
fitted,100,107,39.00000
fitted,100,108,168.00000
fitted,100,109,30.00000
fitted,100,110,-40.00000
fitted,100,111,-91.00000
fitted,100,112,31.00000
fitted,100,113,-72.00000
fitted,100,114,129.00000
fitted,100,115,99.00000
fitted,100,116,6.00000
fitted,100,117,63.00000
fitted,100,118,107.00000
fitted,100,119,-7.00000
fitted,100,120,-11.00000
fitted,100,121,177.00000
fitted,100,122,68.00000
fitted,100,123,75.00000
fitted,100,124,12.00000
fitted,100,125,155.00000
fitted,100,126,-97.00000
fitted,100,127,-19.00000
fitted,100,128,37.00000
fitted,100,129,123.00000
fitted,100,130,78.00000
fitted,100,131,-35.00000
fitted,100,132,-87.00000
fitted,100,133,-34.00000
fitted,100,134,45.00000
fitted,100,135,-134.00000
fitted,100,136,-100.00000
fitted,100,137,84.00000
fitted,100,138,-156.00000
fitted,100,139,46.00000
fitted,100,140,-63.00000
fitted,100,141,25.00000
fitted,100,142,-37.00000
fitted,100,143,15.00000
fitted,100,144,-153.00000
fitted,100,145,-86.00000
fitted,100,146,29.00000
fitted,100,147,45.00000
fitted,100,148,-149.00000
fitted,100,149,-98.00000
fitted,100,150,-123.00000
fitted,100,151,-130.00000
fitted,100,152,128.00000
fitted,100,153,-158.00000
fitted,100,154,44.00000
fitted,100,155,-70.00000
fitted,100,156,94.00000
fitted,100,157,-84.00000
fitted,100,158,-6.00000
fitted,100,159,50.00000
fitted,100,160,77.00000
fitted,100,161,-47.00000
fitted,100,162,-90.00000
fitted,100,163,-215.00000
fitted,100,164,96.00000
fitted,100,165,-37.00000
fitted,100,166,-21.00000
fitted,100,167,13.00000
fitted,100,168,-55.00000
fitted,100,169,-49.00000
fitted,100,170,14.00000
fitted,100,171,-132.00000
fitted,100,172,-77.00000
fitted,100,173,-117.00000
fitted,100,174,-111.00000
fitted,100,175,-35.00000
fitted,100,176,-64.00000
fitted,100,177,-133.00000
fitted,100,178,12.00000
fitted,100,179,192.00000
fitted,101,1,69.00000
fitted,101,2,-46.00000
fitted,101,3,-134.00000
fitted,101,4,31.00000
fitted,101,5,-118.00000
fitted,101,6,-105.00000
fitted,101,7,-112.00000
fitted,101,8,-129.00000
fitted,101,9,-1.00000
fitted,101,10,4.00000
fitted,101,11,-123.00000
fitted,101,12,-127.00000
fitted,101,13,14.00000
fitted,101,14,-98.00000
fitted,101,15,-109.00000
fitted,101,16,-110.00000
fitted,101,17,-175.00000
fitted,101,18,-55.00000
fitted,101,19,-1.00000
fitted,101,20,-100.00000
fitted,101,21,-105.00000
fitted,101,22,11.00000
fitted,101,23,-66.00000
fitted,101,24,-24.00000
fitted,101,25,-62.00000
fitted,101,26,-64.00000
fitted,101,27,28.00000
fitted,101,28,29.00000
fitted,101,29,139.00000
fitted,101,30,73.00000
fitted,101,31,-32.00000
fitted,101,32,-61.00000
fitted,101,33,-74.00000
fitted,101,34,-27.00000
fitted,101,35,-144.00000
fitted,101,36,-4.00000
fitted,101,37,-122.00000
fitted,101,38,-56.00000
fitted,101,39,-106.00000
fitted,101,40,-177.00000
fitted,101,41,-116.00000
fitted,101,42,-165.00000
fitted,101,43,-115.00000
fitted,101,44,24.00000
fitted,101,45,-158.00000
fitted,101,46,-128.00000
fitted,101,47,-138.00000
fitted,101,48,-129.00000
fitted,101,49,-62.00000
fitted,101,50,-125.00000
fitted,101,51,44.00000
fitted,101,52,-79.00000
fitted,101,53,-52.00000
fitted,101,54,-47.00000
fitted,101,55,-41.00000
fitted,101,56,-77.00000
fitted,101,57,-54.00000
fitted,101,58,2.00000
fitted,101,59,-78.00000
fitted,101,60,-93.00000
fitted,101,61,-95.00000
fitted,101,62,-78.00000
fitted,101,63,2.00000
fitted,101,64,-107.00000
fitted,101,65,28.00000
fitted,101,66,-55.00000
fitted,101,67,-42.00000
fitted,101,68,-86.00000
fitted,101,69,-125.00000
fitted,101,70,-89.00000
fitted,101,71,-131.00000
fitted,101,72,-119.00000
fitted,101,73,-135.00000
fitted,101,74,-160.00000
fitted,101,75,-64.00000
fitted,101,76,32.00000
fitted,101,77,-80.00000
fitted,101,78,79.00000
fitted,101,79,8.00000
fitted,101,80,41.00000
fitted,101,81,-67.00000
fitted,101,82,15.00000
fitted,101,83,-142.00000
fitted,101,84,4.00000
fitted,101,85,-104.00000
fitted,101,86,-62.00000
fitted,101,87,-124.00000
fitted,101,88,-22.00000
fitted,101,89,-77.00000
fitted,101,90,-30.00000
fitted,101,91,35.00000
fitted,101,92,11.00000
fitted,101,93,-37.00000
fitted,101,94,-90.00000
fitted,101,95,-46.00000
fitted,101,96,2.00000
fitted,101,97,-63.00000
fitted,101,98,-74.00000
fitted,101,99,-31.00000
fitted,101,100,21.00000
fitted,101,101,36.00000
fitted,101,102,-56.00000
fitted,101,103,-5.00000
