model,num_balls,speed_multiplier,seed,goals_per_min,collisions_per_min
es2,10,1.0,42,63.0,0.0
es2,10,1.0,43,60.5,0.0
es2,10,1.0,44,66.0,0.0
es2,10,1.0,45,59.0,0.0
es2,10,1.0,46,67.0,0.0
es2,10,1.0,47,65.0,0.0
es2,10,1.0,48,57.0,0.0
es2,10,1.0,49,65.0,1.0
es2,10,1.0,50,60.0,0.0
es2,10,1.0,51,63.5,0.0
es2,10,1.0,52,49.0,3.0
es2,10,1.0,53,55.5,0.0
es2,10,1.0,54,67.5,0.0
es2,10,1.0,55,59.0,0.0
es2,10,1.0,56,64.5,0.0
es2,10,1.0,57,54.0,0.0
es2,10,1.0,58,55.0,0.0
es2,10,1.0,59,60.5,0.0
es2,10,1.0,60,59.5,0.0
es2,10,1.0,61,61.5,0.0
es2,10,1.5,42,66.0,0.0
es2,10,1.5,43,66.5,0.0
es2,10,1.5,44,70.0,0.0
es2,10,1.5,45,57.5,0.0
es2,10,1.5,46,70.0,0.0
es2,10,1.5,47,68.0,0.0
es2,10,1.5,48,62.0,0.0
es2,10,1.5,49,69.0,0.0
es2,10,1.5,50,69.5,0.0
es2,10,1.5,51,65.0,0.0
es2,10,1.5,52,59.0,0.0
es2,10,1.5,53,67.0,0.5
es2,10,1.5,54,67.5,0.0
es2,10,1.5,55,67.5,0.0
es2,10,1.5,56,63.5,1.0
es2,10,1.5,57,67.5,0.0
es2,10,1.5,58,53.0,0.0
es2,10,1.5,59,68.5,0.0
es2,10,1.5,60,68.0,0.0
es2,10,1.5,61,57.5,0.0
es2,10,2.0,42,65.5,0.0
es2,10,2.0,43,73.5,0.0
es2,10,2.0,44,65.5,0.0
es2,10,2.0,45,64.0,0.0
es2,10,2.0,46,70.0,0.0
es2,10,2.0,47,65.0,0.0
es2,10,2.0,48,68.0,0.0
es2,10,2.0,49,68.0,1.0
es2,10,2.0,50,69.0,0.0
es2,10,2.0,51,71.5,0.0
es2,10,2.0,52,59.5,0.0
es2,10,2.0,53,67.0,0.0
es2,10,2.0,54,68.5,0.0
es2,10,2.0,55,70.0,0.0
es2,10,2.0,56,61.5,0.0
es2,10,2.0,57,67.0,0.0
es2,10,2.0,58,61.0,0.0
es2,10,2.0,59,73.0,0.0
es2,10,2.0,60,68.0,0.0
es2,10,2.0,61,61.5,0.0
es2,10,2.5,42,69.0,0.0
es2,10,2.5,43,71.0,0.0
es2,10,2.5,44,64.5,2.0
es2,10,2.5,45,64.5,0.5
es2,10,2.5,46,75.0,0.0
es2,10,2.5,47,65.5,0.5
es2,10,2.5,48,66.0,0.0
es2,10,2.5,49,72.0,0.5
es2,10,2.5,50,65.5,2.0
es2,10,2.5,51,67.0,0.0
es2,10,2.5,52,61.0,0.0
es2,10,2.5,53,68.0,0.0
es2,10,2.5,54,65.5,0.0
es2,10,2.5,55,67.5,0.0
es2,10,2.5,56,62.0,0.5
es2,10,2.5,57,66.0,0.5
es2,10,2.5,58,63.0,0.0
es2,10,2.5,59,68.0,0.0
es2,10,2.5,60,69.5,0.0
es2,10,2.5,61,67.5,0.5
es2,10,3.0,42,68.0,1.0
es2,10,3.0,43,73.5,0.0
es2,10,3.0,44,63.0,1.0
es2,10,3.0,45,64.5,1.0
es2,10,3.0,46,72.5,2.0
es2,10,3.0,47,62.0,1.0
es2,10,3.0,48,65.5,0.0
es2,10,3.0,49,65.5,0.5
es2,10,3.0,50,72.0,0.0
es2,10,3.0,51,69.5,0.5
es2,10,3.0,52,68.5,0.0
es2,10,3.0,53,69.5,0.0
es2,10,3.0,54,63.5,3.0
es2,10,3.0,55,70.0,0.5
es2,10,3.0,56,61.0,4.0
es2,10,3.0,57,71.5,1.5
es2,10,3.0,58,62.5,1.0
es2,10,3.0,59,62.0,1.0
es2,10,3.0,60,71.5,0.0
es2,10,3.0,61,65.0,0.0
es2,10,3.5,42,62.0,5.0
es2,10,3.5,43,66.5,2.5
es2,10,3.5,44,63.0,6.0
es2,10,3.5,45,59.0,4.0
es2,10,3.5,46,67.0,2.5
es2,10,3.5,47,62.0,7.0
es2,10,3.5,48,70.0,0.5
es2,10,3.5,49,63.5,7.5
es2,10,3.5,50,68.0,3.0
es2,10,3.5,51,59.0,12.0
es2,10,3.5,52,68.5,0.0
es2,10,3.5,53,66.5,2.0
es2,10,3.5,54,67.0,3.5
es2,10,3.5,55,66.0,3.0
es2,10,3.5,56,57.0,8.5
es2,10,3.5,57,69.5,2.0
es2,10,3.5,58,64.0,2.0
es2,10,3.5,59,62.5,7.0
es2,10,3.5,60,71.0,0.5
es2,10,3.5,61,68.5,1.5
es2,10,4.0,42,69.0,3.0
es2,10,4.0,43,72.5,5.0
es2,10,4.0,44,56.0,21.5
es2,10,4.0,45,65.0,4.0
es2,10,4.0,46,73.0,2.0
es2,10,4.0,47,64.0,11.5
es2,10,4.0,48,67.0,2.0
es2,10,4.0,49,63.5,10.5
es2,10,4.0,50,68.0,3.5
es2,10,4.0,51,61.0,10.0
es2,10,4.0,52,70.5,3.0
es2,10,4.0,53,71.0,3.5
es2,10,4.0,54,66.0,7.5
es2,10,4.0,55,66.5,7.5
es2,10,4.0,56,66.5,7.5
es2,10,4.0,57,67.5,6.5
es2,10,4.0,58,59.5,3.5
es2,10,4.0,59,65.0,10.5
es2,10,4.0,60,65.5,3.5
es2,10,4.0,61,68.0,0.0
es2,20,1.0,42,34.0,0.0
es2,20,1.0,43,41.5,0.0
es2,20,1.0,44,49.0,1.0
es2,20,1.0,45,35.5,0.5
es2,20,1.0,46,32.5,0.0
es2,20,1.0,47,41.0,0.0
es2,20,1.0,48,44.0,0.0
es2,20,1.0,49,34.5,0.0
es2,20,1.0,50,39.5,1.5
es2,20,1.0,51,38.0,0.5
es2,20,1.0,52,41.5,1.5
es2,20,1.0,53,39.5,0.0
es2,20,1.0,54,29.0,0.0
es2,20,1.0,55,49.5,0.0
es2,20,1.0,56,32.0,0.0
es2,20,1.0,57,39.5,0.0
es2,20,1.0,58,33.5,0.0
es2,20,1.0,59,41.0,0.0
es2,20,1.0,60,41.0,1.5
es2,20,1.0,61,42.0,0.5
es2,30,1.0,42,22.5,0.0
es2,30,1.0,43,28.5,1.0
es2,30,1.0,44,29.5,1.0
es2,30,1.0,45,24.5,1.5
es2,30,1.0,46,26.5,0.5
es2,30,1.0,47,31.5,2.0
es2,30,1.0,48,33.0,1.0
es2,30,1.0,49,31.5,11.0
es2,30,1.0,50,31.0,2.0
es2,30,1.0,51,30.0,2.0
es2,30,1.0,52,30.5,0.0
es2,30,1.0,53,29.0,2.0
es2,30,1.0,54,20.5,1.5
es2,30,1.0,55,34.5,1.5
es2,30,1.0,56,25.0,3.5
es2,30,1.0,57,35.5,0.0
es2,30,1.0,58,19.5,0.0
es2,30,1.0,59,34.0,0.5
es2,30,1.0,60,29.5,1.5
es2,30,1.0,61,26.0,3.5
es2,40,1.0,42,17.0,2.5
es2,40,1.0,43,23.0,2.5
es2,40,1.0,44,18.5,12.5
es2,40,1.0,45,16.5,5.0
es2,40,1.0,46,23.5,0.5
es2,40,1.0,47,19.0,0.5
es2,40,1.0,48,20.5,3.5
es2,40,1.0,49,17.0,4.0
es2,40,1.0,50,22.5,5.0
es2,40,1.0,51,24.5,0.0
es2,40,1.0,52,21.0,15.5
es2,40,1.0,53,20.5,2.0
es2,40,1.0,54,17.0,1.0
es2,40,1.0,55,19.0,0.5
es2,40,1.0,56,18.0,6.5
es2,40,1.0,57,23.5,5.0
es2,40,1.0,58,16.5,0.5
es2,40,1.0,59,19.0,4.0
es2,40,1.0,60,23.5,1.0
es2,40,1.0,61,19.0,1.5
es2,50,1.0,42,11.5,3.5
es2,50,1.0,43,11.5,6.0
es2,50,1.0,44,15.0,13.0
es2,50,1.0,45,15.5,9.0
es2,50,1.0,46,20.0,12.0
es2,50,1.0,47,13.5,6.0
es2,50,1.0,48,18.0,8.5
es2,50,1.0,49,12.5,9.5
es2,50,1.0,50,14.0,3.0
es2,50,1.0,51,17.5,10.5
es2,50,1.0,52,17.0,14.0
es2,50,1.0,53,16.0,5.0
es2,50,1.0,54,17.0,14.0
es2,50,1.0,55,14.5,5.5
es2,50,1.0,56,11.5,4.0
es2,50,1.0,57,19.0,5.0
es2,50,1.0,58,9.5,10.0
es2,50,1.0,59,16.5,6.0
es2,50,1.0,60,16.0,6.5
es2,50,1.0,61,18.0,7.0
