model,num_balls,speed_multiplier,seed,goals_per_min,collisions_per_min
mlp,10,1.0,42,33.0,3.0
mlp,10,1.0,43,35.5,2.0
mlp,10,1.0,44,45.5,1.5
mlp,10,1.0,45,38.5,8.0
mlp,10,1.0,46,39.0,3.0
mlp,10,1.0,47,36.5,6.0
mlp,10,1.0,48,31.5,3.0
mlp,10,1.0,49,43.5,4.0
mlp,10,1.0,50,29.5,7.5
mlp,10,1.0,51,38.5,7.5
mlp,10,1.0,52,29.5,13.5
mlp,10,1.0,53,41.0,3.5
mlp,10,1.0,54,36.5,7.5
mlp,10,1.0,55,41.5,7.0
mlp,10,1.0,56,36.0,7.0
mlp,10,1.0,57,35.0,5.5
mlp,10,1.0,58,28.5,0.0
mlp,10,1.0,59,43.5,1.5
mlp,10,1.0,60,31.5,2.0
mlp,10,1.0,61,35.0,8.0
mlp,10,1.5,42,34.5,9.5
mlp,10,1.5,43,49.0,4.0
mlp,10,1.5,44,47.0,0.5
mlp,10,1.5,45,36.5,8.0
mlp,10,1.5,46,48.0,5.5
mlp,10,1.5,47,42.5,1.0
mlp,10,1.5,48,38.0,4.0
mlp,10,1.5,49,46.5,4.5
mlp,10,1.5,50,37.0,1.5
mlp,10,1.5,51,43.0,5.0
mlp,10,1.5,52,39.5,2.0
mlp,10,1.5,53,34.5,11.0
mlp,10,1.5,54,37.0,9.5
mlp,10,1.5,55,44.5,1.5
mlp,10,1.5,56,42.0,7.5
mlp,10,1.5,57,41.0,4.5
mlp,10,1.5,58,41.5,7.5
mlp,10,1.5,59,44.0,9.5
mlp,10,1.5,60,36.0,19.0
mlp,10,1.5,61,44.5,1.5
mlp,10,2.0,42,42.5,11.5
mlp,10,2.0,43,46.0,4.0
mlp,10,2.0,44,49.5,4.0
mlp,10,2.0,45,46.0,6.0
mlp,10,2.0,46,50.0,4.5
mlp,10,2.0,47,48.0,3.0
mlp,10,2.0,48,42.5,4.0
mlp,10,2.0,49,53.0,2.5
mlp,10,2.0,50,41.0,1.5
mlp,10,2.0,51,42.0,4.0
mlp,10,2.0,52,42.5,2.0
mlp,10,2.0,53,39.0,8.0
mlp,10,2.0,54,47.0,11.0
mlp,10,2.0,55,47.5,4.5
mlp,10,2.0,56,47.0,5.0
mlp,10,2.0,57,43.0,4.0
mlp,10,2.0,58,42.0,4.0
mlp,10,2.0,59,47.5,4.0
mlp,10,2.0,60,46.0,5.0
mlp,10,2.0,61,40.0,10.0
mlp,10,2.5,42,42.0,4.0
mlp,10,2.5,43,51.5,3.0
mlp,10,2.5,44,49.0,10.5
mlp,10,2.5,45,46.5,8.5
mlp,10,2.5,46,50.0,5.0
mlp,10,2.5,47,46.5,6.5
mlp,10,2.5,48,45.5,3.0
mlp,10,2.5,49,49.5,10.0
mlp,10,2.5,50,42.5,7.0
mlp,10,2.5,51,47.5,1.5
mlp,10,2.5,52,46.0,5.0
mlp,10,2.5,53,48.5,1.5
mlp,10,2.5,54,49.0,9.5
mlp,10,2.5,55,50.5,2.0
mlp,10,2.5,56,45.0,10.0
mlp,10,2.5,57,43.5,6.0
mlp,10,2.5,58,40.5,13.0
mlp,10,2.5,59,49.0,8.5
mlp,10,2.5,60,46.5,7.5
mlp,10,2.5,61,45.0,2.0
mlp,10,3.0,42,43.0,6.5
mlp,10,3.0,43,51.5,4.5
mlp,10,3.0,44,53.0,8.5
mlp,10,3.0,45,49.5,6.5
mlp,10,3.0,46,53.5,8.5
mlp,10,3.0,47,49.0,11.0
mlp,10,3.0,48,45.5,4.5
mlp,10,3.0,49,53.0,5.5
mlp,10,3.0,50,47.5,6.5
mlp,10,3.0,51,51.0,5.0
mlp,10,3.0,52,47.0,1.5
mlp,10,3.0,53,44.5,4.5
mlp,10,3.0,54,52.0,9.5
mlp,10,3.0,55,47.5,4.0
mlp,10,3.0,56,52.5,8.5
mlp,10,3.0,57,48.0,6.0
mlp,10,3.0,58,43.5,6.0
mlp,10,3.0,59,50.0,7.0
mlp,10,3.0,60,48.5,7.5
mlp,10,3.0,61,48.0,7.0
mlp,10,3.5,42,51.0,5.0
mlp,10,3.5,43,55.5,11.5
mlp,10,3.5,44,51.5,13.5
mlp,10,3.5,45,49.0,8.5
mlp,10,3.5,46,52.5,6.5
mlp,10,3.5,47,51.5,9.5
mlp,10,3.5,48,48.0,9.5
mlp,10,3.5,49,52.0,18.0
mlp,10,3.5,50,46.5,8.5
mlp,10,3.5,51,50.5,7.0
mlp,10,3.5,52,50.0,8.5
mlp,10,3.5,53,48.0,4.0
mlp,10,3.5,54,50.5,3.0
mlp,10,3.5,55,49.0,9.5
mlp,10,3.5,56,50.0,9.5
mlp,10,3.5,57,48.0,6.5
mlp,10,3.5,58,48.5,9.5
mlp,10,3.5,59,52.5,13.5
mlp,10,3.5,60,48.5,13.5
mlp,10,3.5,61,53.5,8.5
mlp,10,4.0,42,49.5,10.0
mlp,10,4.0,43,50.5,8.0
mlp,10,4.0,44,56.5,14.0
mlp,10,4.0,45,54.5,4.5
mlp,10,4.0,46,57.0,4.5
mlp,10,4.0,47,53.0,12.5
mlp,10,4.0,48,50.0,9.0
mlp,10,4.0,49,52.0,23.0
mlp,10,4.0,50,52.0,11.0
mlp,10,4.0,51,55.0,9.5
mlp,10,4.0,52,54.5,6.5
mlp,10,4.0,53,50.5,7.5
mlp,10,4.0,54,50.5,15.0
mlp,10,4.0,55,53.5,8.0
mlp,10,4.0,56,51.5,11.5
mlp,10,4.0,57,48.0,9.5
mlp,10,4.0,58,44.0,12.0
mlp,10,4.0,59,50.0,26.5
mlp,10,4.0,60,49.5,13.5
mlp,10,4.0,61,51.0,14.0
mlp,20,1.0,42,25.0,4.0
mlp,20,1.0,43,25.0,16.0
mlp,20,1.0,44,23.0,17.0
mlp,20,1.0,45,20.0,10.0
mlp,20,1.0,46,27.0,10.5
mlp,20,1.0,47,26.0,15.5
mlp,20,1.0,48,25.5,13.5
mlp,20,1.0,49,25.0,8.0
mlp,20,1.0,50,24.0,10.5
mlp,20,1.0,51,25.5,15.0
mlp,20,1.0,52,25.0,18.0
mlp,20,1.0,53,24.5,11.0
mlp,20,1.0,54,19.5,8.5
mlp,20,1.0,55,25.5,21.0
mlp,20,1.0,56,29.5,7.5
mlp,20,1.0,57,29.0,17.5
mlp,20,1.0,58,23.5,5.5
mlp,20,1.0,59,20.5,5.5
mlp,20,1.0,60,28.5,11.5
mlp,20,1.0,61,23.0,28.0
mlp,30,1.0,42,13.0,14.5
mlp,30,1.0,43,20.0,28.5
mlp,30,1.0,44,21.0,36.5
mlp,30,1.0,45,22.5,16.5
mlp,30,1.0,46,21.0,29.5
mlp,30,1.0,47,21.0,15.0
mlp,30,1.0,48,19.0,14.5
mlp,30,1.0,49,20.5,19.0
mlp,30,1.0,50,20.5,17.0
mlp,30,1.0,51,16.5,24.0
mlp,30,1.0,52,19.0,21.5
mlp,30,1.0,53,19.0,42.5
mlp,30,1.0,54,15.5,18.0
mlp,30,1.0,55,21.5,30.0
mlp,30,1.0,56,16.5,29.5
mlp,30,1.0,57,23.0,18.0
mlp,30,1.0,58,17.0,21.0
mlp,30,1.0,59,19.5,28.5
mlp,30,1.0,60,17.0,16.0
mlp,30,1.0,61,15.0,36.0
mlp,40,1.0,42,13.0,37.5
mlp,40,1.0,43,16.0,36.5
mlp,40,1.0,44,16.5,66.5
mlp,40,1.0,45,14.0,52.5
mlp,40,1.0,46,15.5,28.0
mlp,40,1.0,47,13.5,45.0
mlp,40,1.0,48,13.5,38.0
mlp,40,1.0,49,14.5,49.5
mlp,40,1.0,50,15.5,39.5
mlp,40,1.0,51,14.0,20.0
mlp,40,1.0,52,22.0,35.5
mlp,40,1.0,53,10.5,37.5
mlp,40,1.0,54,9.0,62.5
mlp,40,1.0,55,12.0,55.0
mlp,40,1.0,56,14.5,39.0
mlp,40,1.0,57,18.5,38.0
mlp,40,1.0,58,12.5,37.0
mlp,40,1.0,59,11.5,33.0
mlp,40,1.0,60,14.0,29.5
mlp,40,1.0,61,13.0,50.5
mlp,50,1.0,42,7.0,59.5
mlp,50,1.0,43,12.0,58.5
mlp,50,1.0,44,16.5,89.0
mlp,50,1.0,45,12.0,76.0
mlp,50,1.0,46,15.0,53.5
mlp,50,1.0,47,15.5,48.5
mlp,50,1.0,48,11.0,70.5
mlp,50,1.0,49,11.5,67.0
mlp,50,1.0,50,9.5,57.0
mlp,50,1.0,51,11.5,43.5
mlp,50,1.0,52,14.0,42.0
mlp,50,1.0,53,12.5,43.5
mlp,50,1.0,54,7.5,55.0
mlp,50,1.0,55,13.0,65.0
mlp,50,1.0,56,12.5,44.5
mlp,50,1.0,57,14.0,48.5
mlp,50,1.0,58,10.5,56.5
mlp,50,1.0,59,11.0,81.5
mlp,50,1.0,60,10.0,48.0
mlp,50,1.0,61,17.0,40.0
