model,num_balls,speed_multiplier,seed,goals_per_min,collisions_per_min
transformer,10,1.0,42,44.0,0.0
transformer,10,1.0,43,58.5,0.0
transformer,10,1.0,44,58.0,0.0
transformer,10,1.0,45,48.5,0.0
transformer,10,1.0,46,57.5,0.0
transformer,10,1.0,47,52.5,0.0
transformer,10,1.0,48,61.5,0.0
transformer,10,1.0,49,60.0,0.0
transformer,10,1.0,50,50.5,0.0
transformer,10,1.0,51,60.0,0.0
transformer,10,1.0,52,48.0,0.0
transformer,10,1.0,53,48.0,0.0
transformer,10,1.0,54,61.5,0.0
transformer,10,1.0,55,56.5,0.0
transformer,10,1.0,56,51.5,0.0
transformer,10,1.0,57,46.0,3.0
transformer,10,1.0,58,42.5,0.0
transformer,10,1.0,59,56.5,1.5
transformer,10,1.0,60,50.0,0.0
transformer,10,1.0,61,56.5,0.0
transformer,10,1.5,42,53.5,0.0
transformer,10,1.5,43,64.0,0.0
transformer,10,1.5,44,59.5,0.0
transformer,10,1.5,45,68.0,0.5
transformer,10,1.5,46,68.5,0.0
transformer,10,1.5,47,61.5,0.0
transformer,10,1.5,48,60.0,0.0
transformer,10,1.5,49,66.0,1.5
transformer,10,1.5,50,57.5,0.0
transformer,10,1.5,51,62.0,0.0
transformer,10,1.5,52,59.5,5.0
transformer,10,1.5,53,61.0,1.0
transformer,10,1.5,54,57.0,0.0
transformer,10,1.5,55,59.5,0.0
transformer,10,1.5,56,61.0,0.0
transformer,10,1.5,57,56.5,0.0
transformer,10,1.5,58,52.0,0.0
transformer,10,1.5,59,66.0,0.5
transformer,10,1.5,60,60.5,0.0
transformer,10,1.5,61,56.0,0.0
transformer,10,2.0,42,69.5,0.0
transformer,10,2.0,43,71.0,0.0
transformer,10,2.0,44,66.0,1.0
transformer,10,2.0,45,65.5,0.5
transformer,10,2.0,46,69.0,0.5
transformer,10,2.0,47,64.0,0.5
transformer,10,2.0,48,59.0,0.0
transformer,10,2.0,49,71.0,0.5
transformer,10,2.0,50,59.5,2.0
transformer,10,2.0,51,62.5,2.0
transformer,10,2.0,52,60.5,0.0
transformer,10,2.0,53,66.5,0.0
transformer,10,2.0,54,59.5,0.0
transformer,10,2.0,55,69.5,0.5
transformer,10,2.0,56,60.0,0.0
transformer,10,2.0,57,60.5,0.5
transformer,10,2.0,58,56.5,0.0
transformer,10,2.0,59,69.0,0.0
transformer,10,2.0,60,64.0,2.0
transformer,10,2.0,61,61.0,0.0
transformer,10,2.5,42,60.0,0.5
transformer,10,2.5,43,62.5,1.5
transformer,10,2.5,44,56.5,3.0
transformer,10,2.5,45,62.5,2.5
transformer,10,2.5,46,67.0,0.5
transformer,10,2.5,47,61.0,2.0
transformer,10,2.5,48,65.0,0.5
transformer,10,2.5,49,73.5,0.5
transformer,10,2.5,50,62.0,1.5
transformer,10,2.5,51,59.0,0.0
transformer,10,2.5,52,61.0,1.5
transformer,10,2.5,53,64.5,1.5
transformer,10,2.5,54,66.0,2.0
transformer,10,2.5,55,66.0,0.0
transformer,10,2.5,56,61.5,4.0
transformer,10,2.5,57,65.0,1.5
transformer,10,2.5,58,57.5,1.5
transformer,10,2.5,59,61.5,3.0
transformer,10,2.5,60,66.0,0.0
transformer,10,2.5,61,68.5,1.5
transformer,10,3.0,42,65.5,1.0
transformer,10,3.0,43,71.5,1.5
transformer,10,3.0,44,67.5,5.5
transformer,10,3.0,45,61.5,2.5
transformer,10,3.0,46,68.0,1.5
transformer,10,3.0,47,61.5,4.5
transformer,10,3.0,48,66.5,0.5
transformer,10,3.0,49,67.0,0.5
transformer,10,3.0,50,69.5,1.0
transformer,10,3.0,51,65.5,2.0
transformer,10,3.0,52,63.5,0.5
transformer,10,3.0,53,65.5,0.5
transformer,10,3.0,54,64.5,4.0
transformer,10,3.0,55,69.5,2.0
transformer,10,3.0,56,61.0,4.0
transformer,10,3.0,57,64.0,2.0
transformer,10,3.0,58,58.5,1.0
transformer,10,3.0,59,65.0,2.5
transformer,10,3.0,60,65.5,1.0
transformer,10,3.0,61,67.0,0.0
transformer,10,3.5,42,62.0,3.0
transformer,10,3.5,43,67.5,1.0
